N.row,expr,time
316227,nc::capture_melt_multiple,246797600
316227,stats::reshape,2107526200
316227,cdata::rowrecs_to_blocks,2607644200
316227,cdata::rowrecs_to_blocks,2187760360
316227,stats::reshape,1816378960
316227,stats::reshape,2065903600
316227,data.table::melt,364460000
316227,data.table::melt,51553640
316227,nc::capture_melt_multiple,55825240
1000000,tidyr::pivot_longer,760216080
1000000,tidyr::pivot_longer,1020545840
1000000,tidyr::pivot_longer,934024680
1000000,nc::capture_melt_multiple,168004640
1000000,tidyr::pivot_longer,1077095560
1000000,data.table::melt,141105240
1000000,data.table::melt,140118440
1000000,nc::capture_melt_multiple,236919000
1000000,tidyr::pivot_longer,985343960
1000000,nc::capture_melt_multiple,144743000
1000000,data.table::melt,142171000
1000000,nc::capture_melt_multiple,492140920
1000000,tidyr::pivot_longer,624160320
1000000,nc::capture_melt_multiple,182869960
1000000,nc::capture_melt_multiple,148875480
1000000,data.table::melt,154153600
1000000,data.table::melt,191608440
1000000,data.table::melt,405181280
1000000,data.table::melt,140198920
1000000,data.table::melt,139129800
1000000,tidyr::pivot_longer,663500480
1000000,nc::capture_melt_multiple,208998240
1000000,tidyr::pivot_longer,862782680
1000000,nc::capture_melt_multiple,146883680
1000000,data.table::melt,139916840
1000000,data.table::melt,258378440
1000000,nc::capture_melt_multiple,146569880
1000000,tidyr::pivot_longer,873326600
1000000,nc::capture_melt_multiple,157097920
1000000,tidyr::pivot_longer,765496240
