capture groups,type conversions,N.rep,N.col,expr,time
3,0,31,129,stats::reshape,16276871
3,0,31,129,stats::reshape,17752242
3,0,31,129,stats::reshape,14587205
3,0,31,129,stats::reshape,14847376
3,0,31,129,stats::reshape,15982374
3,0,31,129,stats::reshape,16409041
3,0,31,129,stats::reshape,16752621
3,0,31,129,stats::reshape,17501695
3,0,31,129,stats::reshape,14489040
3,0,31,129,cdata::rowrecs_to_blocks,18765335
3,0,31,129,cdata::rowrecs_to_blocks,18205214
3,0,31,129,cdata::rowrecs_to_blocks,21100135
3,0,31,129,cdata::rowrecs_to_blocks,21151463
3,0,31,129,cdata::rowrecs_to_blocks,18110577
3,0,31,129,cdata::rowrecs_to_blocks,18154849
3,0,31,129,cdata::rowrecs_to_blocks,19071702
3,0,31,129,cdata::rowrecs_to_blocks,22471565
3,0,31,129,cdata::rowrecs_to_blocks,17843991
3,0,31,129,cdata::rowrecs_to_blocks,17958838
3,0,100,405,nc::capture_melt_multiple,20943263
3,0,100,405,nc::capture_melt_multiple,19454098
3,0,100,405,nc::capture_melt_multiple,20407522
3,0,100,405,nc::capture_melt_multiple,20057206
3,0,100,405,nc::capture_melt_multiple,20165959
3,0,100,405,nc::capture_melt_multiple,20192906
3,0,100,405,nc::capture_melt_multiple,20393728
3,0,100,405,nc::capture_melt_multiple,23035536
3,0,100,405,nc::capture_melt_multiple,21068696
3,0,100,405,nc::capture_melt_multiple,19726459
3,0,100,405,tidyr::pivot_longer,8587559
3,0,100,405,tidyr::pivot_longer,8466296
3,0,100,405,tidyr::pivot_longer,8599109
3,0,100,405,tidyr::pivot_longer,8296912
3,0,100,405,tidyr::pivot_longer,8545213
3,0,100,405,tidyr::pivot_longer,8379358
3,0,100,405,tidyr::pivot_longer,10563381
3,0,100,405,tidyr::pivot_longer,8519550
3,0,100,405,tidyr::pivot_longer,8639209
3,0,100,405,tidyr::pivot_longer,8642416
3,0,100,405,data.table::melt,5490854
3,0,100,405,data.table::melt,5475455
3,0,100,405,data.table::melt,5174222
3,0,100,405,data.table::melt,5325962
3,0,100,405,data.table::melt,5222022
3,0,100,405,data.table::melt,5129951
3,0,100,405,data.table::melt,5383064
3,0,100,405,data.table::melt,7545593
3,0,100,405,data.table::melt,5442092
3,0,100,405,data.table::melt,5263085
3,0,100,405,stats::reshape,56583122
3,0,100,405,stats::reshape,58244878
3,0,100,405,stats::reshape,52618967
3,0,100,405,stats::reshape,53305163
3,0,100,405,stats::reshape,53923349
3,0,100,405,stats::reshape,55868695
3,0,100,405,stats::reshape,63373225
3,0,100,405,stats::reshape,51073020
3,0,100,405,stats::reshape,55010228
3,0,100,405,stats::reshape,54060011
3,0,100,405,cdata::rowrecs_to_blocks,56444535
3,0,100,405,cdata::rowrecs_to_blocks,48251884
3,0,100,405,cdata::rowrecs_to_blocks,50862574
3,0,100,405,cdata::rowrecs_to_blocks,50361160
3,0,100,405,cdata::rowrecs_to_blocks,51138143
3,0,100,405,cdata::rowrecs_to_blocks,49865520
3,0,100,405,cdata::rowrecs_to_blocks,51285392
3,0,100,405,cdata::rowrecs_to_blocks,48938081
3,0,100,405,cdata::rowrecs_to_blocks,52387348
3,0,100,405,cdata::rowrecs_to_blocks,52698526
3,0,316,1269,nc::capture_melt_multiple,43317623
3,0,316,1269,nc::capture_melt_multiple,42369332
3,0,316,1269,nc::capture_melt_multiple,46063050
3,0,316,1269,nc::capture_melt_multiple,43015106
3,0,316,1269,nc::capture_melt_multiple,43071888
3,0,316,1269,nc::capture_melt_multiple,49410623
3,0,316,1269,nc::capture_melt_multiple,42395637
3,0,316,1269,nc::capture_melt_multiple,46531421
3,0,316,1269,nc::capture_melt_multiple,42373502
3,0,316,1269,nc::capture_melt_multiple,46724545
3,0,316,1269,tidyr::pivot_longer,28344494
3,0,316,1269,tidyr::pivot_longer,71662437
3,0,316,1269,tidyr::pivot_longer,25465934
3,0,316,1269,tidyr::pivot_longer,25644621
3,0,316,1269,tidyr::pivot_longer,26016110
3,0,316,1269,tidyr::pivot_longer,31933951
3,0,316,1269,tidyr::pivot_longer,25674134
3,0,316,1269,tidyr::pivot_longer,26225915
3,0,316,1269,tidyr::pivot_longer,28585737
3,0,316,1269,tidyr::pivot_longer,26883239
3,0,316,1269,data.table::melt,16515869
3,0,316,1269,data.table::melt,16334295
3,0,316,1269,data.table::melt,18880824
3,0,316,1269,data.table::melt,16039798
3,0,316,1269,data.table::melt,16529342
3,0,316,1269,data.table::melt,18790999
3,0,316,1269,data.table::melt,16221693
3,0,316,1269,data.table::melt,60547598
3,0,316,1269,data.table::melt,15797913
3,0,316,1269,data.table::melt,15785402
3,0,316,1269,stats::reshape,281063294
3,0,316,1269,stats::reshape,292836420
3,0,316,1269,stats::reshape,354081761
3,0,316,1269,stats::reshape,284047397
3,0,316,1269,stats::reshape,341764875
3,0,316,1269,stats::reshape,274112148
3,0,316,1269,stats::reshape,294491760
3,0,316,1269,stats::reshape,323491011
3,0,316,1269,stats::reshape,318274123
3,0,316,1269,stats::reshape,290338011
3,0,316,1269,cdata::rowrecs_to_blocks,479491105
3,0,316,1269,cdata::rowrecs_to_blocks,391615638
3,0,316,1269,cdata::rowrecs_to_blocks,513900368
3,0,316,1269,cdata::rowrecs_to_blocks,453453502
3,0,316,1269,cdata::rowrecs_to_blocks,453800290
3,0,316,1269,cdata::rowrecs_to_blocks,467750059
3,0,316,1269,cdata::rowrecs_to_blocks,476018741
3,0,316,1269,cdata::rowrecs_to_blocks,546043481
3,0,316,1269,cdata::rowrecs_to_blocks,444725753
3,0,316,1269,cdata::rowrecs_to_blocks,488621783
3,0,1000,4005,nc::capture_melt_multiple,126205897
3,0,1000,4005,nc::capture_melt_multiple,132672952
3,0,1000,4005,nc::capture_melt_multiple,189723482
3,0,1000,4005,nc::capture_melt_multiple,118602881
3,0,1000,4005,nc::capture_melt_multiple,132290556
3,0,1000,4005,nc::capture_melt_multiple,130053280
3,0,1000,4005,nc::capture_melt_multiple,168197002
3,0,1000,4005,nc::capture_melt_multiple,127926360
3,0,1000,4005,nc::capture_melt_multiple,130092738
3,0,1000,4005,nc::capture_melt_multiple,132900080
3,0,1000,4005,tidyr::pivot_longer,204944591
3,0,1000,4005,tidyr::pivot_longer,156826162
3,0,1000,4005,tidyr::pivot_longer,153864515
3,0,1000,4005,tidyr::pivot_longer,216392745
3,0,1000,4005,tidyr::pivot_longer,150865013
3,0,1000,4005,tidyr::pivot_longer,155491945
3,0,1000,4005,tidyr::pivot_longer,205261545
3,0,1000,4005,tidyr::pivot_longer,173089238
3,0,1000,4005,tidyr::pivot_longer,168291639
3,0,1000,4005,tidyr::pivot_longer,156833219
3,0,1000,4005,data.table::melt,63239450
3,0,1000,4005,data.table::melt,138744457
3,0,1000,4005,data.table::melt,58292999
3,0,1000,4005,data.table::melt,65872597
3,0,1000,4005,data.table::melt,65613709
3,0,1000,4005,data.table::melt,136916205
3,0,1000,4005,data.table::melt,56913870
3,0,1000,4005,data.table::melt,57927284
3,0,1000,4005,data.table::melt,65323383
3,0,1000,4005,data.table::melt,56435553
3,0,1000,4005,stats::reshape,2722169433
3,0,1000,4005,stats::reshape,2657156267
3,0,1000,4005,stats::reshape,2574880084
3,0,1000,4005,stats::reshape,2484510700
3,0,1000,4005,stats::reshape,2317539806
3,0,1000,4005,stats::reshape,2412712244
3,0,1000,4005,stats::reshape,3120448136
3,0,1000,4005,stats::reshape,3574702361
3,0,1000,4005,stats::reshape,3118288494
3,0,1000,4005,stats::reshape,3319437352
3,0,1000,4005,cdata::rowrecs_to_blocks,7067554883
3,0,1000,4005,cdata::rowrecs_to_blocks,7986331895
3,0,1000,4005,cdata::rowrecs_to_blocks,7865489173
3,0,1000,4005,cdata::rowrecs_to_blocks,7700426090
3,0,1000,4005,cdata::rowrecs_to_blocks,7936622285
3,0,1000,4005,cdata::rowrecs_to_blocks,7617436764
3,0,1000,4005,cdata::rowrecs_to_blocks,6897611756
3,0,1000,4005,cdata::rowrecs_to_blocks,5578166064
3,0,1000,4005,cdata::rowrecs_to_blocks,7692251404
3,0,1000,4005,cdata::rowrecs_to_blocks,8260670529
3,0,3162,12653,nc::capture_melt_multiple,542071627
3,0,3162,12653,nc::capture_melt_multiple,831422529
3,0,3162,12653,nc::capture_melt_multiple,662192865
3,0,3162,12653,nc::capture_melt_multiple,785201645
3,0,3162,12653,nc::capture_melt_multiple,628822682
3,0,3162,12653,nc::capture_melt_multiple,686626777
3,0,3162,12653,nc::capture_melt_multiple,699012315
3,0,3162,12653,nc::capture_melt_multiple,670187259
3,0,3162,12653,nc::capture_melt_multiple,598931601
3,0,3162,12653,nc::capture_melt_multiple,600833317
3,0,3162,12653,tidyr::pivot_longer,1559878724
3,0,3162,12653,tidyr::pivot_longer,1810505252
3,0,3162,12653,tidyr::pivot_longer,1558599686
3,0,3162,12653,tidyr::pivot_longer,1690512656
3,0,3162,12653,tidyr::pivot_longer,1510427040
3,0,3162,12653,tidyr::pivot_longer,1441391975
3,0,3162,12653,tidyr::pivot_longer,1774748620
3,0,3162,12653,tidyr::pivot_longer,1465816584
3,0,3162,12653,tidyr::pivot_longer,1463024321
3,0,3162,12653,tidyr::pivot_longer,1444827448
3,0,3162,12653,data.table::melt,222971760
3,0,3162,12653,data.table::melt,225283462
3,0,3162,12653,data.table::melt,310150444
3,0,3162,12653,data.table::melt,233197335
3,0,3162,12653,data.table::melt,315922642
3,0,3162,12653,data.table::melt,207503953
3,0,3162,12653,data.table::melt,284026545
3,0,3162,12653,data.table::melt,206815512
3,0,3162,12653,data.table::melt,281626302
3,0,3162,12653,data.table::melt,209181108
3,0,3162,12653,stats::reshape,30612202874
3,0,3162,12653,stats::reshape,30821327199
3,0,3162,12653,stats::reshape,26252115051
3,0,3162,12653,stats::reshape,27640306765
3,0,3162,12653,stats::reshape,21954876903
3,0,3162,12653,stats::reshape,20146358059
3,0,3162,12653,stats::reshape,19883847089
3,0,3162,12653,stats::reshape,20232921125
3,0,3162,12653,stats::reshape,19521638120
3,0,3162,12653,stats::reshape,21577350263
3,0,3162,12653,cdata::rowrecs_to_blocks,56377580535
3,0,3162,12653,cdata::rowrecs_to_blocks,51464591119
3,0,3162,12653,cdata::rowrecs_to_blocks,52102634302
3,0,3162,12653,cdata::rowrecs_to_blocks,44405082601
3,0,3162,12653,cdata::rowrecs_to_blocks,47334287935
3,0,3162,12653,cdata::rowrecs_to_blocks,47313529776
3,0,3162,12653,cdata::rowrecs_to_blocks,44236905490
3,0,3162,12653,cdata::rowrecs_to_blocks,41607086718
3,0,3162,12653,cdata::rowrecs_to_blocks,43510065175
3,0,3162,12653,cdata::rowrecs_to_blocks,46242442218
3,0,10000,40005,nc::capture_melt_multiple,1292029281
3,0,10000,40005,nc::capture_melt_multiple,1446365375
3,0,10000,40005,nc::capture_melt_multiple,1463735860
3,0,10000,40005,nc::capture_melt_multiple,1346081272
3,0,10000,40005,nc::capture_melt_multiple,1284613935
3,0,10000,40005,nc::capture_melt_multiple,1347554717
3,0,10000,40005,nc::capture_melt_multiple,1326328828
3,0,10000,40005,nc::capture_melt_multiple,1340044734
3,0,10000,40005,nc::capture_melt_multiple,1333635103
3,0,10000,40005,nc::capture_melt_multiple,1338676512
3,0,10000,40005,tidyr::pivot_longer,11200316055
3,0,10000,40005,tidyr::pivot_longer,11303770968
3,0,10000,40005,tidyr::pivot_longer,10918322115
3,0,10000,40005,tidyr::pivot_longer,10827332298
3,0,10000,40005,tidyr::pivot_longer,11044762517
3,0,10000,40005,tidyr::pivot_longer,11728951195
3,0,10000,40005,tidyr::pivot_longer,12192395445
3,0,10000,40005,tidyr::pivot_longer,12045024292
3,0,10000,40005,tidyr::pivot_longer,11028667542
3,0,10000,40005,tidyr::pivot_longer,11017030757
3,0,10000,40005,data.table::melt,688706860
3,0,10000,40005,data.table::melt,770710039
3,0,10000,40005,data.table::melt,589518938
3,0,10000,40005,data.table::melt,749216281
3,0,10000,40005,data.table::melt,722214345
3,0,10000,40005,data.table::melt,610097768
3,0,10000,40005,data.table::melt,725397346
3,0,10000,40005,data.table::melt,627334479
3,0,10000,40005,data.table::melt,734336825
3,0,10000,40005,data.table::melt,587637433
3,0,10000,40005,stats::reshape,228505469682
3,0,10000,40005,stats::reshape,213517510356
3,0,10000,40005,stats::reshape,203598588662
3,0,10000,40005,stats::reshape,204553770006
3,0,10000,40005,stats::reshape,203032371847
3,0,10000,40005,stats::reshape,196327394855
3,0,10000,40005,stats::reshape,195918905013
3,0,10000,40005,stats::reshape,193969623546
3,0,10000,40005,stats::reshape,185453037422
3,0,10000,40005,stats::reshape,194170653706
3,0,10000,40005,cdata::rowrecs_to_blocks,457161357174
3,0,10000,40005,cdata::rowrecs_to_blocks,504312249775
3,0,10000,40005,cdata::rowrecs_to_blocks,502410256502
3,0,10000,40005,cdata::rowrecs_to_blocks,503027505275
3,0,10000,40005,cdata::rowrecs_to_blocks,499345501903
3,0,10000,40005,cdata::rowrecs_to_blocks,491029893006
3,0,10000,40005,cdata::rowrecs_to_blocks,476522807445
3,0,10000,40005,cdata::rowrecs_to_blocks,470246947887
3,0,10000,40005,cdata::rowrecs_to_blocks,485889474282
3,0,10000,40005,cdata::rowrecs_to_blocks,490214868292
3,1,0,9,nc::capture_melt_multiple,17934137
3,1,0,9,nc::capture_melt_multiple,8027118
3,1,0,9,nc::capture_melt_multiple,7449032
3,1,0,9,nc::capture_melt_multiple,7465392
3,1,0,9,nc::capture_melt_multiple,7318144
3,1,0,9,nc::capture_melt_multiple,7809934
3,1,0,9,nc::capture_melt_multiple,7436199
3,1,0,9,nc::capture_melt_multiple,7700220
3,1,0,9,nc::capture_melt_multiple,7656270
3,1,0,9,nc::capture_melt_multiple,7774005
3,1,0,9,tidyr::pivot_longer,19608403
3,1,0,9,tidyr::pivot_longer,6536670
3,1,0,9,tidyr::pivot_longer,3131353
3,1,0,9,tidyr::pivot_longer,3153488
3,1,0,9,tidyr::pivot_longer,3065588
3,1,0,9,tidyr::pivot_longer,2939192
3,1,0,9,tidyr::pivot_longer,2937268
3,1,0,9,tidyr::pivot_longer,2950100
3,1,0,9,tidyr::pivot_longer,3176586
3,1,0,9,tidyr::pivot_longer,2971272
3,1,1,9,nc::capture_melt_multiple,8512491
3,1,1,9,nc::capture_melt_multiple,7550405
3,1,1,9,nc::capture_melt_multiple,7440050
3,1,1,9,nc::capture_melt_multiple,7365623
3,1,1,9,nc::capture_melt_multiple,7380380
3,1,1,9,nc::capture_melt_multiple,7356961
3,1,1,9,nc::capture_melt_multiple,7579919
3,1,1,9,nc::capture_melt_multiple,7328410
3,1,1,9,nc::capture_melt_multiple,7436842
3,1,1,9,nc::capture_melt_multiple,7471809
3,1,1,9,tidyr::pivot_longer,3779374
3,1,1,9,tidyr::pivot_longer,3338271
3,1,1,9,tidyr::pivot_longer,3090610
3,1,1,9,tidyr::pivot_longer,3173378
3,1,1,9,tidyr::pivot_longer,3335062
3,1,1,9,tidyr::pivot_longer,3595553
3,1,1,9,tidyr::pivot_longer,3534601
3,1,1,9,tidyr::pivot_longer,3638542
3,1,1,9,tidyr::pivot_longer,3820116
3,1,1,9,tidyr::pivot_longer,3647524
3,1,3,17,nc::capture_melt_multiple,9547721
3,1,3,17,nc::capture_melt_multiple,7606225
3,1,3,17,nc::capture_melt_multiple,7658837
3,1,3,17,nc::capture_melt_multiple,7548802
3,1,3,17,nc::capture_melt_multiple,7631569
3,1,3,17,nc::capture_melt_multiple,7514796
3,1,3,17,nc::capture_melt_multiple,7728450
3,1,3,17,nc::capture_melt_multiple,7608149
3,1,3,17,nc::capture_melt_multiple,7569333
3,1,3,17,nc::capture_melt_multiple,7555538
3,1,3,17,tidyr::pivot_longer,3527223
3,1,3,17,tidyr::pivot_longer,3160224
3,1,3,17,tidyr::pivot_longer,3113067
3,1,3,17,tidyr::pivot_longer,3338270
3,1,3,17,tidyr::pivot_longer,3187172
3,1,3,17,tidyr::pivot_longer,3132636
3,1,3,17,tidyr::pivot_longer,3118520
3,1,3,17,tidyr::pivot_longer,3326721
3,1,3,17,tidyr::pivot_longer,3257749
3,1,3,17,tidyr::pivot_longer,3189738
3,1,10,45,nc::capture_melt_multiple,10941928
3,1,10,45,nc::capture_melt_multiple,8889755
3,1,10,45,nc::capture_melt_multiple,8780041
3,1,10,45,nc::capture_melt_multiple,8688612
3,1,10,45,nc::capture_melt_multiple,8727429
3,1,10,45,nc::capture_melt_multiple,8872111
3,1,10,45,nc::capture_melt_multiple,8840352
3,1,10,45,nc::capture_melt_multiple,8767530
3,1,10,45,nc::capture_melt_multiple,9150888
3,1,10,45,nc::capture_melt_multiple,9258036
3,1,10,45,tidyr::pivot_longer,4341098
3,1,10,45,tidyr::pivot_longer,3712647
3,1,10,45,tidyr::pivot_longer,4041469
3,1,10,45,tidyr::pivot_longer,3794772
3,1,10,45,tidyr::pivot_longer,3672546
3,1,10,45,tidyr::pivot_longer,4149579
3,1,10,45,tidyr::pivot_longer,4573680
3,1,10,45,tidyr::pivot_longer,4432206
3,1,10,45,tidyr::pivot_longer,4589720
3,1,10,45,tidyr::pivot_longer,6462885
3,1,31,129,nc::capture_melt_multiple,12725910
